y,y_exit_1,cnf_exit_1,bb_time_exit_1,exit_time_exit_1,y_exit_2,cnf_exit_2,bb_time_exit_2,exit_time_exit_2
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
1,1,0.9911229610443115,5.133688000000802e-05,1.1588560000035386e-05,1,0.9767270088195801,0.0002096620000000371,1.1432040000016742e-05
0,0,0.9612705111503601,5.133688000000802e-05,1.1588560000035386e-05,0,0.9967220425605774,0.0002096620000000371,1.1432040000016742e-05
1,1,0.7270055413246155,5.133688000000802e-05,1.1588560000035386e-05,1,0.9191535711288452,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,1,0.90461266040802,5.133688000000802e-05,1.1588560000035386e-05,1,0.8099551796913147,0.0002096620000000371,1.1432040000016742e-05
0,1,0.90461266040802,5.133688000000802e-05,1.1588560000035386e-05,1,0.8099551796913147,0.0002096620000000371,1.1432040000016742e-05
1,1,0.9821960926055908,5.133688000000802e-05,1.1588560000035386e-05,1,0.9616933465003967,0.0002096620000000371,1.1432040000016742e-05
0,0,0.9547951817512512,5.133688000000802e-05,1.1588560000035386e-05,0,0.9942989349365234,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
1,1,0.8794030547142029,5.133688000000802e-05,1.1588560000035386e-05,1,0.9472434520721436,0.0002096620000000371,1.1432040000016742e-05
0,0,0.9746062159538269,5.133688000000802e-05,1.1588560000035386e-05,0,0.9986485838890076,0.0002096620000000371,1.1432040000016742e-05
1,1,0.9934622049331665,5.133688000000802e-05,1.1588560000035386e-05,1,0.8679485321044922,0.0002096620000000371,1.1432040000016742e-05
1,1,0.8794030547142029,5.133688000000802e-05,1.1588560000035386e-05,1,0.9472434520721436,0.0002096620000000371,1.1432040000016742e-05
1,1,0.7354882955551147,5.133688000000802e-05,1.1588560000035386e-05,1,0.949752926826477,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
1,1,0.7110790610313416,5.133688000000802e-05,1.1588560000035386e-05,1,0.9224086999893188,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
1,1,0.9781960248947144,5.133688000000802e-05,1.1588560000035386e-05,1,0.8605258464813232,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,0,0.8320251107215881,5.133688000000802e-05,1.1588560000035386e-05,0,0.8793883919715881,0.0002096620000000371,1.1432040000016742e-05
0,1,0.9895830154418945,5.238020000007282e-05,1.0865039999998771e-05,1,0.9217807650566101,0.00020235643999996,1.1157880000070008e-05
1,1,0.8794030547142029,5.238020000007282e-05,1.0865039999998771e-05,1,0.9472434520721436,0.00020235643999996,1.1157880000070008e-05
1,1,0.999104917049408,5.238020000007282e-05,1.0865039999998771e-05,1,0.9656645059585571,0.00020235643999996,1.1157880000070008e-05
1,1,0.993950605392456,5.238020000007282e-05,1.0865039999998771e-05,1,0.9632034301757812,0.00020235643999996,1.1157880000070008e-05
1,1,0.9415269494056702,5.238020000007282e-05,1.0865039999998771e-05,1,0.9214932322502136,0.00020235643999996,1.1157880000070008e-05
0,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
0,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
0,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
0,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
1,1,0.9546642303466797,5.238020000007282e-05,1.0865039999998771e-05,1,0.9244301915168762,0.00020235643999996,1.1157880000070008e-05
1,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
1,0,0.8320251107215881,5.238020000007282e-05,1.0865039999998771e-05,0,0.8793883919715881,0.00020235643999996,1.1157880000070008e-05
1,1,0.9688247442245483,5.238020000007282e-05,1.0865039999998771e-05,1,0.9880322217941284,0.00020235643999996,1.1157880000070008e-05
0,1,0.9762403964996338,5.238020000007282e-05,1.0865039999998771e-05,1,0.9263488054275513,0.00020235643999996,1.1157880000070008e-05
